_RecordType,Record Type,Company,Req Number,Line Number,Requester,Req Location,Req Del Date,Creation Date,From Company,From Location,Deliver To,Buyer Code,Vendor,Purchase From Loc,Vendor Name,Print Req Fl,Agreement Ref,PO User Fld 1,PO User Fld 3,PO User Fld 5,User Date 1,User Date 2,Allocate Priority,Quote Fl,Activity,Account Category,Billing Category,Account Unit,Account,Sub Account,Purchase Tax Code,Purchase Tax Fl,Operator Id,Dropship Fl,Dropsh Req Loc,Dropsh Req,Sh Name,Sh Addr 1,Sh Addr 2,Sh Addr 3,Sh Addr 4,Sh City-Addr5,Sh State-Prov,Sh Post Code,Sh Country,Sh County,Sh Phone Pref,Sh Phone,Sh Phone Ext,Sh Contact,Tran Curr Code,One Src One PO,Location Rule,Segment Block,Requisition Number,Item Number,Item Description,Quantity,Unit of Measure,Unit Price,Extended Amount,Taxable Flag,Detail Sequence,Detail Type,Detail Value,Comment Sequence,Comment Type,Comment Text
Header,H,10,0,000000,RQ500OMBCS,72000,00000000,20250405,10,WARE,,BCS,10864,P001,,N,,,,101590,00000000,00000000,00,N,,,,10325,000000,0000,,N,,N,N,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Line,L,,,0001SC-4275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,X Precisi,on Hex Wrench          0000000010000EA,000000000004800,00,0YY,0,,,,,,,
Line,L,,,0002138152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,N ALPHA F,EEELINK REMOTE KITBLE  0000000010000EA,000000000150000,00,0NY,0,,,,,,,
Line,L,,,0003138153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,N Precisi,on Charging System     0000000010000EA,000000000150000,00,0NY,0,,,,,,,
Line,L,,,0004138104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,N WAVEWRI,TER ALPHA 32 IPG KIT   0000000010000EA,000000001930000,00,0NY,0,,,,,,,
Detail,D,,,0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PLOT: 35867216,,,,
Detail,D,,,0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PSER: 533799,,,,
Detail,D,,,0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PLOT: 533799,,,,
Detail,D,,,0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PSER: 511619,,,,
Detail,D,,,0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PLOT: 511619,,,,
Detail,D,,,0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PSER: 780019,,,,
Detail,D,,,0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,PLOT: 780019,,,,
Comment,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,,,0000,PMRN: 0004729561408aa,
Comment,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,,,0000,PCase Number: Main202,53029
Comment,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,,,0000,PDate Of Service: 04-,03-2025
Comment,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010000000000,,,,,,,,,,,0000,PDocument Number: 101,590